[1268, 572, 11, 17, 'note', 'A', 0.91]
[1287, 262, 11, 17, 'note', 'A', 0.91]
[1906, 769, 11, 17, 'note', 'A', 0.91]
[2296, 635, 11, 17, 'note', 'A', 0.91]
[2367, 818, 11, 17, 'note', 'A', 0.91]
[1818, 1140, 11, 17, 'note', 'A', 0.91]
[1108, 1513, 11, 17, 'note', 'A', 0.91]
[1811, 1339, 11, 17, 'note', 'A', 0.91]
[1085, 907, 11, 17, 'note', 'A', 0.91]
[882, 1562, 11, 17, 'note', 'A', 0.91]
[1503, 194, 11, 17, 'note', 'A', 0.91]
[2235, 254, 11, 17, 'note', 'A', 0.91]
[1295, 801, 11, 17, 'note', 'A', 0.91]
[957, 709, 11, 17, 'note', 'A', 0.91]
[404, 1706, 11, 17, 'note', 'A', 0.91]
[1265, 1224, 11, 17, 'note', 'A', 0.91]
[501, 1533, 11, 17, 'note', 'A', 0.91]
[1492, 940, 11, 17, 'note', 'A', 0.91]
[2234, 1169, 11, 17, 'note', 'A', 0.91]
[1547, 1664, 11, 17, 'note', 'A', 0.91]
[1272, 490, 11, 17, 'note', 'A', 0.91]
[1053, 276, 11, 17, 'note', 'A', 0.91]
[1065, 363, 11, 17, 'note', 'A', 0.91]
[1228, 1729, 11, 17, 'note', 'A', 0.91]
[2194, 1053, 11, 17, 'note', 'A', 0.91]
[2198, 1728, 11, 17, 'note', 'A', 0.91]
[1445, 1789, 11, 17, 'note', 'A', 0.91]
[1699, 182, 11, 17, 'note', 'A', 0.91]
[579, 158, 11, 17, 'note', 'A', 0.91]
[977, 186, 11, 17, 'note', 'A', 0.91]
[873, 1445, 11, 17, 'note', 'A', 0.91]
[670, 1700, 11, 17, 'note', 'A', 0.91]
[1972, 877, 11, 17, 'note', 'A', 0.91]
[870, 1004, 11, 17, 'note', 'A', 0.91]
[2410, 812, 11, 17, 'note', 'A', 0.91]
[502, 1431, 11, 17, 'note', 'A', 0.91]
[608, 192, 11, 17, 'note', 'A', 0.91]
[847, 763, 11, 17, 'note', 'A', 0.91]
[2397, 1336, 11, 17, 'note', 'A', 0.91]
[1754, 1474, 11, 17, 'note', 'A', 0.91]
[495, 811, 11, 17, 'note', 'A', 0.91]
[678, 1020, 11, 17, 'note', 'A', 0.91]
[2185, 252, 11, 17, 'note', 'A', 0.91]
[2185, 355, 11, 17, 'note', 'A', 0.91]
[2232, 1559, 11, 17, 'note', 'A', 0.91]
[1722, 694, 11, 17, 'note', 'A', 0.91]
[868, 562, 11, 17, 'note', 'A', 0.91]
[2202, 1726, 11, 17, 'note', 'A', 0.91]
[417, 1613, 11, 17, 'note', 'A', 0.91]
[461, 695, 11, 17, 'note', 'A', 0.91]
[731, 1701, 11, 17, 'note', 'A', 0.91]
[1904, 181, 11, 17, 'note', 'A', 0.91]
