[100, 1108, 11, 17, 'note', 'A', 0.899]
[233, 51, 11, 17, 'note', 'A', 0.899]
[247, 332, 11, 17, 'note', 'A', 0.899]
[238, 265, 11, 17, 'note', 'A', 0.899]
[51, 1248, 11, 17, 'note', 'A', 0.899]
[224, 566, 11, 17, 'note', 'A', 0.899]
[190, 507, 11, 17, 'note', 'A', 0.899]
[93, 236, 11, 17, 'note', 'A', 0.899]
[98, 448, 11, 17, 'note', 'A', 0.899]
[46, 290, 11, 17, 'note', 'A', 0.899]
[117, 772, 11, 17, 'note', 'A', 0.899]
[52, 1174, 11, 17, 'note', 'A', 0.899]
[56, 1333, 11, 17, 'note', 'A', 0.899]
[107, 728, 11, 17, 'note', 'A', 0.899]
[43, 1229, 11, 17, 'note', 'A', 0.899]
[59, 328, 11, 17, 'note', 'A', 0.899]
[88, 1131, 11, 17, 'note', 'A', 0.899]
[117, 1141, 11, 17, 'note', 'A', 0.899]
[43, 1273, 11, 17, 'note', 'A', 0.899]
[54, 333, 11, 17, 'note', 'A', 0.899]
[233, 52, 11, 17, 'note', 'A', 0.899]
[40, 823, 11, 17, 'note', 'A', 0.899]
[104, 239, 11, 17, 'note', 'A', 0.899]
[229, 55, 11, 17, 'note', 'A', 0.899]
[294, 211, 11, 17, 'note', 'A', 0.899]
[115, 781, 11, 17, 'note', 'A', 0.899]
[118, 709, 11, 17, 'note', 'A', 0.899]
[116, 781, 11, 17, 'note', 'A', 0.899]
[122, 754, 11, 17, 'note', 'A', 0.899]
[73, 981, 11, 17, 'note', 'A', 0.899]
[293, 442, 11, 17, 'note', 'A', 0.899]
[114, 785, 11, 17, 'note', 'A', 0.899]
[42, 899, 11, 17, 'note', 'A', 0.899]
[51, 1207, 11, 17, 'note', 'A', 0.899]
[91, 235, 11, 17, 'note', 'A', 0.899]
[69, 444, 11, 17, 'note', 'A', 0.899]
[117, 775, 11, 17, 'note', 'A', 0.899]
[111, 693, 11, 17, 'note', 'A', 0.899]
[287, 446, 11, 17, 'note', 'A', 0.899]
[133, 673, 11, 17, 'note', 'A', 0.899]
[51, 1247, 11, 17, 'note', 'A', 0.899]
[88, 755, 11, 17, 'note', 'A', 0.899]
[112, 796, 11, 17, 'note', 'A', 0.899]
[225, 567, 11, 17, 'note', 'A', 0.899]
[76, 55, 11, 17, 'note', 'A', 0.899]
[82, 286, 11, 17, 'note', 'A', 0.899]
