[103, 1147, 11, 17, 'note', 'A', 0.913]
[355, 1319, 11, 17, 'note', 'A', 0.913]
[153, 247, 11, 17, 'note', 'A', 0.913]
[247, 5, 11, 17, 'note', 'A', 0.913]
[108, 1163, 11, 17, 'note', 'A', 0.913]
[347, 723, 11, 17, 'note', 'A', 0.913]
[174, 952, 11, 17, 'note', 'A', 0.913]
[85, 481, 11, 17, 'note', 'A', 0.913]
[106, 342, 11, 17, 'note', 'A', 0.913]
[156, 1046, 11, 17, 'note', 'A', 0.913]
[149, 430, 11, 17, 'note', 'A', 0.913]
[119, 962, 11, 17, 'note', 'A', 0.913]
[137, 680, 11, 17, 'note', 'A', 0.913]
[173, 671, 11, 17, 'note', 'A', 0.913]
[257, 5, 11, 17, 'note', 'A', 0.913]
[147, 1369, 11, 17, 'note', 'A', 0.913]
[316, 706, 11, 17, 'note', 'A', 0.913]
[137, 1731, 11, 17, 'note', 'A', 0.913]
[338, 996, 11, 17, 'note', 'A', 0.913]
[332, 1423, 11, 17, 'note', 'A', 0.913]
[261, 1225, 11, 17, 'note', 'A', 0.913]
[188, 336, 11, 17, 'note', 'A', 0.913]
[145, 1448, 11, 17, 'note', 'A', 0.913]
[189, 624, 11, 17, 'note', 'A', 0.913]
[341, 1515, 11, 17, 'note', 'A', 0.913]
[350, 1590, 11, 17, 'note', 'A', 0.913]
[354, 1650, 11, 17, 'note', 'A', 0.913]
[353, 1108, 11, 17, 'note', 'A', 0.913]
[297, 1234, 11, 17, 'note', 'A', 0.913]
[264, 2, 11, 17, 'note', 'A', 0.913]
[351, 1653, 11, 17, 'note', 'A', 0.913]
[333, 914, 11, 17, 'note', 'A', 0.913]
[117, 430, 11, 17, 'note', 'A', 0.913]
[135, 245, 11, 17, 'note', 'A', 0.913]
[359, 292, 11, 17, 'note', 'A', 0.913]
[156, 1047, 11, 17, 'note', 'A', 0.913]
[312, 716, 11, 17, 'note', 'A', 0.913]
[345, 628, 11, 17, 'note', 'A', 0.913]
[356, 291, 11, 17, 'note', 'A', 0.913]
[103, 221, 11, 17, 'note', 'A', 0.913]
[134, 684, 11, 17, 'note', 'A', 0.913]
[150, 348, 11, 17, 'note', 'A', 0.913]
[87, 1250, 11, 17, 'note', 'A', 0.913]
[107, 522, 11, 17, 'note', 'A', 0.913]
[125, 884, 11, 17, 'note', 'A', 0.913]
[349, 239, 11, 17, 'note', 'A', 0.913]
[54, 57, 11, 17, 'note', 'A', 0.913]
