[62, 447, 11, 17, 'note', 'A', 0.913]
[327, 148, 11, 17, 'note', 'A', 0.913]
[170, 989, 11, 17, 'note', 'A', 0.913]
[470, 751, 11, 17, 'note', 'A', 0.913]
[263, 714, 11, 17, 'note', 'A', 0.913]
[412, 404, 11, 17, 'note', 'A', 0.913]
[69, 784, 11, 17, 'note', 'A', 0.913]
[30, 785, 11, 17, 'note', 'A', 0.913]
[78, 854, 11, 17, 'note', 'A', 0.913]
[274, 924, 11, 17, 'note', 'A', 0.913]
[164, 216, 11, 17, 'note', 'A', 0.913]
[144, 1132, 11, 17, 'note', 'A', 0.913]
[152, 1132, 11, 17, 'note', 'A', 0.913]
[148, 521, 11, 17, 'note', 'A', 0.913]
[34, 625, 11, 17, 'note', 'A', 0.913]
[309, 1155, 11, 17, 'note', 'A', 0.913]
[146, 580, 11, 17, 'note', 'A', 0.913]
[59, 606, 11, 17, 'note', 'A', 0.913]
[293, 692, 11, 17, 'note', 'A', 0.913]
[62, 470, 11, 17, 'note', 'A', 0.913]
[161, 473, 11, 17, 'note', 'A', 0.913]
[161, 674, 11, 17, 'note', 'A', 0.913]
[180, 782, 11, 17, 'note', 'A', 0.913]
[411, 1139, 11, 17, 'note', 'A', 0.913]
[28, 423, 11, 17, 'note', 'A', 0.913]
[409, 1063, 11, 17, 'note', 'A', 0.913]
[313, 924, 11, 17, 'note', 'A', 0.913]
[283, 1057, 11, 17, 'note', 'A', 0.913]
[154, 1085, 11, 17, 'note', 'A', 0.913]
[46, 831, 11, 17, 'note', 'A', 0.913]
[25, 445, 11, 17, 'note', 'A', 0.913]
[398, 614, 11, 17, 'note', 'A', 0.913]
[301, 1099, 11, 17, 'note', 'A', 0.913]
[304, 534, 11, 17, 'note', 'A', 0.913]
[291, 693, 11, 17, 'note', 'A', 0.913]
[284, 1058, 11, 17, 'note', 'A', 0.913]
[143, 936, 11, 17, 'note', 'A', 0.913]
[427, 671, 11, 17, 'note', 'A', 0.913]
[299, 575, 11, 17, 'note', 'A', 0.913]
[41, 937, 11, 17, 'note', 'A', 0.913]
[141, 378, 11, 17, 'note', 'A', 0.913]
[43, 240, 11, 17, 'note', 'A', 0.913]
[161, 217, 11, 17, 'note', 'A', 0.913]
[424, 326, 11, 17, 'note', 'A', 0.913]
[310, 923, 11, 17, 'note', 'A', 0.913]
[378, 791, 11, 17, 'note', 'A', 0.913]
[57, 373, 11, 17, 'note', 'A', 0.913]
[51, 539, 11, 17, 'note', 'A', 0.913]
[416, 403, 11, 17, 'note', 'A', 0.913]
[217, 693, 11, 17, 'note', 'A', 0.913]
[422, 327, 11, 17, 'note', 'A', 0.913]
[135, 988, 11, 17, 'note', 'A', 0.913]
[133, 628, 11, 17, 'note', 'A', 0.913]
[161, 268, 11, 17, 'note', 'A', 0.913]
[179, 783, 11, 17, 'note', 'A', 0.913]
[61, 1059, 11, 17, 'note', 'A', 0.913]
[391, 843, 11, 17, 'note', 'A', 0.913]
[412, 752, 11, 17, 'note', 'A', 0.913]
[396, 266, 11, 17, 'note', 'A', 0.913]
[385, 445, 11, 17, 'note', 'A', 0.913]
[313, 381, 11, 17, 'note', 'A', 0.913]
[393, 1143, 11, 17, 'note', 'A', 0.913]
[422, 324, 11, 17, 'note', 'A', 0.913]
[402, 881, 11, 17, 'note', 'A', 0.913]
[289, 861, 11, 17, 'note', 'A', 0.913]
[448, 1099, 11, 17, 'note', 'A', 0.913]
[122, 1131, 11, 17, 'note', 'A', 0.913]
[43, 337, 11, 17, 'note', 'A', 0.913]
[385, 535, 11, 17, 'note', 'A', 0.913]
[413, 883, 11, 17, 'note', 'A', 0.913]
[433, 1021, 11, 17, 'note', 'A', 0.913]
[144, 831, 11, 17, 'note', 'A', 0.913]
[156, 1132, 11, 17, 'note', 'A', 0.913]
[72, 626, 11, 17, 'note', 'A', 0.913]
[264, 711, 11, 17, 'note', 'A', 0.913]
[446, 1102, 11, 17, 'note', 'A', 0.913]
[155, 1084, 11, 17, 'note', 'A', 0.913]
[13, 214, 11, 17, 'note', 'A', 0.913]
[306, 1081, 11, 17, 'note', 'A', 0.913]
[52, 539, 11, 17, 'note', 'A', 0.913]
[293, 1126, 11, 17, 'note', 'A', 0.913]
[414, 444, 11, 17, 'note', 'A', 0.913]
[67, 515, 11, 17, 'note', 'A', 0.913]
[160, 723, 11, 17, 'note', 'A', 0.913]
[127, 425, 11, 17, 'note', 'A', 0.913]
[160, 219, 11, 17, 'note', 'A', 0.913]
[313, 343, 11, 17, 'note', 'A', 0.913]
[378, 881, 11, 17, 'note', 'A', 0.913]
[386, 441, 11, 17, 'note', 'A', 0.913]
[395, 266, 11, 17, 'note', 'A', 0.913]
[273, 922, 11, 17, 'note', 'A', 0.913]
[158, 473, 11, 17, 'note', 'A', 0.913]
[31, 785, 11, 17, 'note', 'A', 0.913]
[163, 314, 11, 17, 'note', 'A', 0.913]
[414, 443, 11, 17, 'note', 'A', 0.913]
[81, 700, 11, 17, 'note', 'A', 0.913]
[427, 151, 11, 17, 'note', 'A', 0.913]
[178, 783, 11, 17, 'note', 'A', 0.913]
[311, 1079, 11, 17, 'note', 'A', 0.913]
[311, 1039, 11, 17, 'note', 'A', 0.913]
[430, 266, 11, 17, 'note', 'A', 0.913]
[449, 921, 11, 17, 'note', 'A', 0.913]
[142, 880, 11, 17, 'note', 'A', 0.913]
[414, 535, 11, 17, 'note', 'A', 0.913]
[221, 273, 11, 17, 'note', 'A', 0.913]
[277, 963, 11, 17, 'note', 'A', 0.913]
[27, 421, 11, 17, 'note', 'A', 0.913]
[320, 1059, 11, 17, 'note', 'A', 0.913]
[409, 1099, 11, 17, 'note', 'A', 0.913]
[292, 692, 11, 17, 'note', 'A', 0.913]
[308, 1080, 11, 17, 'note', 'A', 0.913]
