[61, 1080, 11, 17, 'note', 'A', 0.928]
[60, 720, 11, 17, 'note', 'A', 0.928]
[37, 755, 11, 17, 'note', 'A', 0.928]
[37, 790, 11, 17, 'note', 'A', 0.928]
[37, 825, 11, 17, 'note', 'A', 0.928]
[48, 685, 11, 17, 'note', 'A', 0.928]
[48, 860, 11, 17, 'note', 'A', 0.928]
[75, 144, 11, 17, 'note', 'A', 0.928]
[135, 459, 11, 17, 'note', 'A', 0.928]
[37, 389, 11, 17, 'note', 'A', 0.928]
[48, 494, 11, 17, 'note', 'A', 0.928]
[37, 354, 11, 17, 'note', 'A', 0.928]
[37, 319, 11, 17, 'note', 'A', 0.928]
[48, 424, 11, 17, 'note', 'A', 0.928]
[170, 458, 11, 17, 'note', 'A', 0.928]
[60, 284, 11, 17, 'note', 'A', 0.928]
[60, 1082, 11, 17, 'note', 'A', 0.928]
[168, 894, 11, 17, 'note', 'A', 0.928]
[48, 249, 11, 17, 'note', 'A', 0.928]
[135, 894, 11, 17, 'note', 'A', 0.928]
[60, 1080, 11, 17, 'note', 'A', 0.928]
[59, 1081, 11, 17, 'note', 'A', 0.928]
[151, 544, 11, 17, 'note', 'A', 0.928]
[153, 978, 11, 17, 'note', 'A', 0.928]
[48, 929, 11, 17, 'note', 'A', 0.928]
[153, 108, 11, 17, 'note', 'A', 0.928]
[59, 1082, 11, 17, 'note', 'A', 0.928]
[153, 543, 11, 17, 'note', 'A', 0.928]
[55, 458, 11, 17, 'note', 'A', 0.928]
[170, 893, 11, 17, 'note', 'A', 0.928]
[55, 893, 11, 17, 'note', 'A', 0.928]
[53, 459, 11, 17, 'note', 'A', 0.928]
[36, 755, 11, 17, 'note', 'A', 0.928]
[36, 790, 11, 17, 'note', 'A', 0.928]
[36, 825, 11, 17, 'note', 'A', 0.928]
[59, 720, 11, 17, 'note', 'A', 0.928]
[151, 979, 11, 17, 'note', 'A', 0.928]
[134, 459, 11, 17, 'note', 'A', 0.928]
[153, 107, 11, 17, 'note', 'A', 0.928]
[47, 685, 11, 17, 'note', 'A', 0.928]
[47, 860, 11, 17, 'note', 'A', 0.928]
[60, 545, 11, 17, 'note', 'A', 0.928]
[77, 580, 11, 17, 'note', 'A', 0.928]
[55, 892, 11, 17, 'note', 'A', 0.928]
[48, 650, 11, 17, 'note', 'A', 0.928]
[88, 1082, 11, 17, 'note', 'A', 0.928]
[48, 615, 11, 17, 'note', 'A', 0.928]
[192, 1082, 11, 17, 'note', 'A', 0.928]
[38, 754, 11, 17, 'note', 'A', 0.928]
[61, 719, 11, 17, 'note', 'A', 0.928]
